,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6,k7,k8
84,225,112,10,0.027590933191020052,0.5875901401545269,0.008282415420558464,0.3414804994595443,0.0046761619681937126,0.007853979182352658,0.012816828543493353,0.004812619927237482,0.0048964221530730994
85,223,112,10,0.027866004656212768,0.5667559523396788,0.008272711618546268,0.3622792354889513,0.004648064025621242,0.00785432639756583,0.01269023108153243,0.004782136686354719,0.004851337705536688
86,224,114,11,0.02528014836109913,0.6352614283018249,0.007728650013722281,0.2989992319502015,0.004342008255339842,0.0072513800529330225,0.012071962175161155,0.004482935316568626,0.004582255573149664
87,223,113,10,0.027021528696201284,0.5911295722234866,0.008095517979989406,0.3396268187881608,0.004544442939812231,0.00766296739851865,0.012474121852090623,0.004682000134917792,0.004763029986822475
88,218,109,13,0.029498679173455385,0.4536919060349731,0.008426393584567668,0.4735129804574266,0.004678014836139429,0.007969138775671503,0.012631064274658627,0.004796612834135978,0.0047952100289716275
89,212,105,13,0.0286192818672757,0.2743813006086304,0.007561892834904183,0.6588575712589605,0.004150988730001682,0.007277710770780543,0.010789144870834889,0.004225849582150725,0.0041362594764613155
90,200,99,14,0.021059740444145037,0.09319490574019322,0.004797838858450283,0.8623915205892804,0.002566251518243681,0.004745564811806884,0.006231238900395608,0.002581322835133999,0.0024316163023509613
91,191,90,18,0.029443443965692383,0.06395574070733817,0.005684306945273903,0.8798141399923243,0.0029891033392732058,0.005745115674943876,0.006743636024009994,0.0029582665445315437,0.002666246806612708
92,14,21,204,0.005652574861615835,0.0032095174613616276,0.03262191933983311,0.0037669233240563457,0.8953675733698873,0.007475787525091179,0.005662735164698092,0.040386705029504776,0.00585626392395167
93,162,67,12,0.3425918094879444,0.09214066758286293,0.025250533584410796,0.45155775270837367,0.01293433249449905,0.03256793262666391,0.021332333990509607,0.012051285066372035,0.009573352458363656
94,152,57,8,0.5999540937591444,0.061333656315288886,0.022726757691499684,0.23446800084449637,0.011739866169641584,0.033968812007408915,0.017073652377719246,0.010647017387839425,0.00808814344696139
95,146,46,8,0.7981365073957798,0.03125606136161703,0.014424621038086867,0.10283393150709076,0.007598417992875659,0.02414519108007672,0.009990910778146341,0.00671290971402005,0.00490144913230701
96,139,41,4,0.9156258946003335,0.012880110080024083,0.006803481311001885,0.038350218473279546,0.003616771021757096,0.012893519877088134,0.004431623648131273,0.003148203680781444,0.0022501773076027782
97,135,36,2,0.9613996302472069,0.0057580276019259385,0.003322072863901299,0.016148879811104265,0.001789511549381623,0.006876063237881033,0.002085106889153789,0.0015385870173863726,0.001082120782058951
98,232,130,18,0.0035780686063617752,0.964952458993859,0.0013490447798995434,0.02408574036638891,0.0007604738735622612,0.0011669206624868806,0.0024246890189447284,0.0008063466597615488,0.0008762570387353721
99,233,131,18,0.0034253718916412543,0.9670039207007025,0.0013057974118678584,0.022397649312596725,0.0007374803649768433,0.001126851572420452,0.0023655517446092705,0.0007829923670573198,0.0008543846341275679
100,235,136,22,0.0021579090909561297,0.9805449940589994,0.0008797597204807276,0.012379083386259237,0.0004969061947291338,0.0007358576186916516,0.0016799016926010598,0.000532461660588584,0.0005931265766940076
101,233,136,22,0.0011545793981999365,0.989517678603559,0.0004682146692089344,0.006721433544664538,0.00026314536963344755,0.0003913635894565172,0.0008881911172347947,0.0002819919996496974,0.0003134017083930338
102,228,136,23,4.703408508651779e-35,999999999999999.9,1.894441708028644e-35,2.80640057572126e-34,1.0506740073757318e-35,1.5726732299562797e-35,3.5532860472260485e-35,1.1269255186497882e-35,1.2462456848743162e-35
103,224,131,22,0.002116728418975443,0.9791035706548816,0.0008043963453602172,0.014428882232988107,0.00044293307878528923,0.0006788554867852784,0.0014425442738449819,0.00047156361770994655,0.0005105258906690964
104,217,123,22,0.014581819773433709,0.8322715640715026,0.0050434398522481265,0.12668559142035343,0.002739531537959044,0.004345246876308507,0.008434350199594534,0.0028830546756218054,0.0030154015929780044
105,207,112,19,0.03404398751229148,0.4267036371823086,0.009849280656253762,0.48980395723491876,0.0052661209673523285,0.008955583356210502,0.014548770766756097,0.005432838389408394,0.0053958239345002395
106,212,108,12,0.030003183442798075,0.337053065861722,0.008128593287747645,0.5918194753501685,0.004452063910365195,0.007789450195383071,0.011713293012431807,0.004550083212864111,0.004490791726519536
107,187,85,12,0.031262561819767894,0.04586852933217712,0.005060490983226234,0.8991230133908138,0.0026733266440258363,0.005496234444130516,0.005600912253599176,0.0026114074576285102,0.002303523674630744
108,176,72,7,0.14115921773914264,0.08052197114015336,0.014761315364118528,0.7097758370593935,0.00781721534327984,0.01825599345687687,0.014120707259016223,0.0074099759083065524,0.0061777667297124245
109,168,58,6,0.34989767169685865,0.08474148799202084,0.02259878759644955,0.45996466298933497,0.01213565278208535,0.03137420127499068,0.019292628028603688,0.011160767404416794,0.008834140235239518
110,161,52,0,0.5162436899628439,0.06999942204827138,0.022359074651080127,0.3072443759386599,0.012111792920864258,0.0348352576791208,0.01776624783715988,0.010964252467381882,0.008475886494617947
111,152,44,2,0.7288459161349646,0.041536092500156115,0.017028997570297747,0.14768331530820686,0.009230871540944475,0.029058440504874536,0.012363631621747435,0.008177300186998067,0.006075434631810222
